Name,price,rating,number_of_reviews,stock,url
"GIGABYTE Eagle GeForce RTX 3060 Ti Rev2.0 Graphics Card 8GB GDDR6 PCI Express 4.0 x16, LHR, WINDFORCE 2X Cooling RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_ HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",949.99,,no reviews,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07142601AXRMG89BIE4T&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09DR6D4MK%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634064926%26sr%3D8-11-spons%26psc%3D1&qualifier=1634064926&id=3090987232345433&widgetName=sp_mtf
MSI NVIDIA GeForce RTX 3060 Ti Gaming X LHR 8GB GDDR6 VRAM Graphics Card X RGB Dual TORX 4.0 Fans 4864 CUDA Cores PCIe 4.0 x 16 DirectX 12 3 x DisplayPort 1 x HDMI Mazepoly Accessory ,939.0,,no reviews,out of stock,https://www.amazon.com/MSI-Graphics-DisplayPort-Mazepoly-Accessory/dp/B09FVLSNZ2/ref=sr_1_12?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-12
"ASUS Dual NVIDIA GeForce RTX 3060 V2 OC Edition 12GB GDDR6 Gaming Graphics Card (PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, 2-Slot Design, Axial-tech Fan Design, 0dB Technology) ",772.88,5.0 out of 5 stars,2,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-Technology/dp/B0985X2YR1/ref=sr_1_13?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-13
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card ",894.11,4.6 out of 5 stars,22,Only 9 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV2-0-WINDFORCE-GV-N3060GAMING-OC-12GD/dp/B0971BG25M/ref=sr_1_14?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-14
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3x DisplayPort 1.4a w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,949.99,4.6 out of 5 stars,5,Only 7 left in stock - order soon.,https://www.amazon.com/Graphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI/dp/B09GHZGD5X/ref=sr_1_15?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-15
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3x DisplayPort 1.4a w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,949.99,4.6 out of 5 stars,5,Only 7 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09382251XJX5VXDW3X7Y&url=%2FGraphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GHZGD5X%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634064926%26sr%3D8-16-spons%26psc%3D1&qualifier=1634064926&id=3090987232345433&widgetName=sp_mtf
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Triple Fan Ampere OC Graphics Card (RTX 3060 Ventus 3X 12G OC) ,Not available,4.0 out of 5 stars,10,out of stock,https://www.amazon.com/MSI-RTX-3060-OC-12G/dp/B08WTFG5BX/ref=sr_1_17?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-17
MSI Gaming GeForce RTX 3060 Ti LHR 8GB GDRR6 256-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3060 Ti Ventus 2X 8G OCV1 LHR) ,Not available,3.5 out of 5 stars,8,out of stock,https://www.amazon.com/MSI-GeForce-RTX-3060-OCV1/dp/B099N59B14/ref=sr_1_18?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-18
"GIGABYTE GeForce RTX 3060 Ti Gaming OC PRO 8G (REV3.0) Graphics Card, 3X WINDFORCE Fans, LHR, 8GB 256-bit GDDR6, GV-N306TGAMINGOC PRO-8GD R3 Video Card ",944.98,4.5 out of 5 stars,5,Only 1 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV3-0-WINDFORCE-GV-N306TGAMINGOC-PRO-8GD/dp/B098PJNWKD/ref=sr_1_19?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-19
PNY GeForce RTX 3060 12GB XLR8 Gaming Revel Epic-X RGB Dual Fan Graphics Card ,772.97,2.8 out of 5 stars,28,out of stock,https://www.amazon.com/PNY-GeForce-Gaming-Epic-X-Graphics/dp/B09979GS5W/ref=sr_1_20?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-20
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3X DisplayPort 1.4a w/ Mytrix_HDMI Cable ,949.99,,no reviews,Only 4 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0938069PIBGUJ2TGPAS&url=%2FGraphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GJ5GXV7%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634064926%26sr%3D8-21-spons%26psc%3D1&qualifier=1634064926&id=3090987232345433&widgetName=sp_btf
MSI Gaming GeForce RTX 3080 OC Ventus 3X LHR Graphics Card 10GB GDRR6X 320-Bit PCI Express 4.0 x16 Torx Fan 3 Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix HDMI Cable ,1849.99,,no reviews,Only 7 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A072680826NRT0XEMLPLF&url=%2FGeForce-Graphics-320-Bit-Architecture-DisplayPort%2Fdp%2FB09F3W9RZK%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634064926%26sr%3D8-22-spons%26psc%3D1&qualifier=1634064926&id=3090987232345433&widgetName=sp_btf
MSI NVIDIA GeForce RTX 3070 Ventus 3X LHR Overclocked Triple Torx Fan Graphics Card 8GB GDDR6 PCIe 4.0 x 16 OpenGL Ampere Architecture OC DirectX 12 HDMI 3 x DisplayPort 1.4a Mazepoly Accessory ,1229.0,,no reviews,Only 17 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A041618613Z2MBX9YNVAJ&url=%2FMSI-Overclocked-Architecture-DisplayPort-Accessory%2Fdp%2FB09H3XGRBZ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634064927%26sr%3D8-1-spons%26psc%3D1&qualifier=1634064927&id=8781790024814381&widgetName=sp_atf
"GIGABYTE GeForce RTX 3070 Gaming OC REV2.0 Graphics Card, 8G 256-bit GDDR6, PCIe 4.0 x16, 3X WINDFORCE Fans, Lite Hash Rate Version, RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_HDMI Cable ",1249.99,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08745942P5NPE0W9TM82&url=%2FGIGABYTE-Graphics-WINDFORCE-DisplayPort-Mytrix_HDMI%2Fdp%2FB09G998SNG%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634064927%26sr%3D8-2-spons%26psc%3D1&qualifier=1634064927&id=8781790024814381&widgetName=sp_atf
MSI Gaming GeForce RTX 3070 LHR 8GB GDRR6 256-Bit HDMI/DP Nvlink Torx Fan 4 RGB Ampere Architecture OC Graphics Card (RTX 3070 Gaming Z Trio 8G LHR) ,1185.0,4.5 out of 5 stars,2,out of stock,https://www.amazon.com/MSI-GeForce-RTX-3070-Architecture/dp/B097MYTZMW/ref=sr_1_3?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-3
Newest 2021 MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Tri-Frozr Torx Fan Ampere RGB OC Graphics Card (RTX 3060 Gaming X Trio 12G) +AllyFlex HDMI ,1039.99,4.5 out of 5 stars,10,Only 1 left in stock - order soon.,https://www.amazon.com/MSI-GeForce-RTX-3060-Tri-Frozr/dp/B092C7VF2C/ref=sr_1_4?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-4
MSI Gaming GeForce RTX 3070 Ti 8GB GDRR6X 256-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3070 Ti Gaming X Trio 8G) ,1399.0,4.5 out of 5 stars,27,Only 14 left in stock - order soon.,https://www.amazon.com/MSI-Gaming-RTX-3070-Trio/dp/B096HJC18P/ref=sr_1_5?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-5
"EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming, 08G-P5-3797-KL, 8GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate ",Not available,4.6 out of 5 stars,54,out of stock,https://www.amazon.com/EVGA-GeForce-08G-P5-3797-KL-Technology-Backplate/dp/B096WM6JFS/ref=sr_1_6?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-6
"ZOTAC Gaming GeForce RTX 3070 Twin Edge OC Low Hash Rate 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, White LED Logo Lighting, ZT-A30700H-10PLHR ",Not available,4.7 out of 5 stars,6,out of stock,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30700H-10PLHR/dp/B097YY2NL2/ref=sr_1_7?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-7
MSI Gaming GeForce RTX 3070 LHR 8GB GDRR6 256-Bit HDMI/DP Nvlink Triple Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3070 Ventus 3X 8G OC LHR) ,1099.99,no ratings,no reviews,out of stock,https://www.amazon.com/MSI-RTX-3070-LHR-Ventus/dp/B099NZHTQL/ref=sr_1_8?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-8
"GIGABYTE AORUS GeForce RTX 3070 Master 8G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 8GB 256-bit GDDR6, GV-N3070AORUS M-8GD REV2.0 Video Card ",1327.99,5.0 out of 5 stars,1,Only 1 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV2-0-WINDFORCE-GV-N3070AORUS-M-8GD/dp/B09B2W2ZQ3/ref=sr_1_9?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-9
"ASUS ROG Strix NVIDIA GeForce RTX 3070 V2 OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6, LHR, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II) ",1268.99,no ratings,no reviews,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-2-9-Slot/dp/B0985S4F6J/ref=sr_1_10?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-10
ASUS Dual GeForce RTX 3070 Non-LHR Graphics Card 8GB GDDR6 PCI Express 4.0 Ampere Streaming Multiprocessors 2X HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix_HDMI Cable - OEM Package (Renewed) ,1614.99,no ratings,no reviews,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06439102F0U6WO7INTUS&url=%2FGraphics-Streaming-Multiprocessors-DisplayPort-Mytrix_HDMI%2Fdp%2FB09H3QSGYX%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634064927%26sr%3D8-11-spons%26psc%3D1&qualifier=1634064927&id=8781790024814381&widgetName=sp_mtf
PNY GeForce RTX 3070 8GB XLR8 Gaming Revel Epic-X RGB Triple Fan Graphics Card LHR ,1199.0,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/PNY-GeForce-Gaming-Epic-X-Graphics/dp/B0971ZJBQY/ref=sr_1_12?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-12
"GIGABYTE GeForce RTX 3070 Ti Gaming OC 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 256-bit GDDR6X, GV-N307TGAMING OC-8GD Video Card ",Not available,5.0 out of 5 stars,3,out of stock,https://www.amazon.com/GIGABYTE-Graphics-WINDFORCE-GV-N307TGAMING-OC-8GD/dp/B097G7RBSZ/ref=sr_1_13?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-13
"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II) ",1629.0,4.5 out of 5 stars,27,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-2-9-Slot/dp/B096YQ6WVW/ref=sr_1_14?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-14
"MSI Gaming GeForce RTX 3070 8GB GDRR6 256-Bit HDMI/DP TORX Fan 3.0 Ampere Architecture OC Graphics Card (RTX 3070 Ventus 2X OC), GeForce RTX 3070 Ventus 2X OC ",Not available,4.6 out of 5 stars,149,out of stock,https://www.amazon.com/MSI-GeForce-RTX-3070-Architecture/dp/B08KWPDXJZ/ref=sr_1_15?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-15
"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCIe 4.0 x16, LHR, WINDFORCE 3X Cooling RGB Fusion 2.0, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1249.99,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09735253033BXVTP1XB&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09CS2YXTY%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634064927%26sr%3D8-16-spons%26psc%3D1&qualifier=1634064927&id=8781790024814381&widgetName=sp_mtf
"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCIe 4.0 x16, LHR, WINDFORCE 3X Cooling RGB Fusion 2.0, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1249.99,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/GIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort/dp/B09CS2YXTY/ref=sr_1_17?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-17
"ZOTAC Gaming GeForce RTX 3070 Ti AMP Holo 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30710F-10P ",Not available,4.4 out of 5 stars,62,out of stock,https://www.amazon.com/ZOTAC-Graphics-HoloBlack-IceStorm-ZT-A30710F-10P/dp/B096TZHXYN/ref=sr_1_18?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-18
MSI NVIDIA GeForce RTX 3060 Ti Gaming X LHR 8GB GDDR6 VRAM Graphics Card X RGB Dual TORX 4.0 Fans 4864 CUDA Cores PCIe 4.0 x 16 DirectX 12 3 x DisplayPort 1 x HDMI Mazepoly Accessory ,939.0,,no reviews,out of stock,https://www.amazon.com/MSI-Graphics-DisplayPort-Mazepoly-Accessory/dp/B09FVLSNZ2/ref=sr_1_19?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-19
ZOTAC GAMING GeForce RTX 3070 AMP Holo 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card ,1649.99,3.6 out of 5 stars,7,Only 2 left in stock - order soon.,https://www.amazon.com/ZOTAC-GAMING-GeForce-256-bit-Graphics/dp/B08W44ZLRP/ref=sr_1_20?dchild=1&keywords=3070+Graphics+Card&qid=1634064927&sr=8-20
MSI Gaming GeForce RTX 3080 OC Ventus 3X LHR Graphics Card 10GB GDRR6X 320-Bit PCIe4.0 Torx Fan 3 Ampere Architecture 1 x HDMI 2.1 3 x DisplayPort 1.4a w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,1849.99,,no reviews,Only 8 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0416669P6UHLV9HIWDK&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GSD7N36%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634064927%26sr%3D8-21-spons%26psc%3D1&qualifier=1634064927&id=8781790024814381&widgetName=sp_btf
MSI Gaming GeForce RTX 3080 OC Ventus 3X LHR Graphics Card 10GB GDRR6X 320-Bit PCI Express 4.0 x16 Torx Fan 3 Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix HDMI Cable ,1849.99,,no reviews,Only 7 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A072680826NRT0XEMLPLF&url=%2FGeForce-Graphics-320-Bit-Architecture-DisplayPort%2Fdp%2FB09F3W9RZK%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634064927%26sr%3D8-22-spons%26psc%3D1&qualifier=1634064927&id=8781790024814381&widgetName=sp_btf
MSI Gaming GeForce RTX 3080 OC Ventus 3X LHR Graphics Card 10GB GDRR6X 320-Bit PCIe4.0 Torx Fan 3 Ampere Architecture 1 x HDMI 2.1 3 x DisplayPort 1.4a w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,1849.99,,no reviews,Only 8 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0416669P6UHLV9HIWDK&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GSD7N36%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1634064928%26sr%3D8-1-spons%26psc%3D1&qualifier=1634064928&id=1036698142160684&widgetName=sp_atf
"MSI Gaming GeForce RTX 3080 Ti OC Gaming Trio X Graphics Card, 12GB GDRR6X 320-Bit PCIe 4.0, Torx Fan 4.0 Ampere Architecture, DisplayPort x3 (v1.4) HDMI x1 w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",2299.99,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07205811G2O2PR6C5XG7&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GPX5SQJ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1634064928%26sr%3D8-2-spons%26psc%3D1&qualifier=1634064928&id=1036698142160684&widgetName=sp_atf
MSI Gaming GeForce RTX 3080 LHR 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 4 RGB Ampere Architecture OC Graphics Card (RTX 3080 Gaming Z Trio 10G LHR) ,1868.0,4.1 out of 5 stars,8,Only 19 left in stock - order soon.,https://www.amazon.com/MSI-GeForce-RTX-3080-LHR/dp/B0995S7548/ref=sr_1_3?dchild=1&keywords=3080+Graphics+Card&qid=1634064928&sr=8-3
"ZOTAC Gaming GeForce RTX 3080 Ti AMP Holo 12GB GDDR6X 384-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30810F-10P ",2065.0,3.9 out of 5 stars,20,Only 4 left in stock - order soon.,https://www.amazon.com/ZOTAC-Graphics-HoloBlack-IceStorm-ZT-A30810F-10P/dp/B08V1ZWGVR/ref=sr_1_4?dchild=1&keywords=3080+Graphics+Card&qid=1634064928&sr=8-4
2021 Newst GeForce RTX 3080 Founders Edition / AllyFlex HDMI ,2899.0,2.3 out of 5 stars,5,Only 2 left in stock - order soon.,https://www.amazon.com/2021-Newst-GeForce-Founders-AllyFlex/dp/B095XZMSPB/ref=sr_1_5?dchild=1&keywords=3080+Graphics+Card&qid=1634064928&sr=8-5
"EV GA GeForce RTX 3080 XC3 Black Gaming Video Card, 10G-P5-3881-KL, 10GB GDDR6X, iCX3 Cooling, ARGB LED, LHR ",1650.0,3.5 out of 5 stars,3,Only 9 left in stock - order soon.,https://www.amazon.com/GeForce-Gaming-10G-P5-3881-KL-GDDR6X-Cooling/dp/B09CLX9JB9/ref=sr_1_6?dchild=1&keywords=3080+Graphics+Card&qid=1634064928&sr=8-6
