Name,price,rating,number of reviews,stock,url
"ASUS TUF Gaming NVIDIA GeForce RTX 3060 V2 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II) ",849.99,4.6 out of 5 stars,6,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B0985VND1G/ref=sr_1_9?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-9
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Tri-Frozr Torx Fan Ampere RGB OC Graphics Card (RTX 3060 Gaming X Trio 12G) ,Not available,4.2 out of 5 stars,29,out of stock,https://www.amazon.com/MSI-GeForce-192-Bit-Tri-Frozr-Graphics/dp/B08WT47L8B/ref=sr_1_10?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-10
"GIGABYTE Eagle GeForce RTX 3060 Ti Rev2.0 Graphics Card 8GB GDDR6 PCI Express 4.0 x16, LHR, WINDFORCE 2X Cooling RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_ HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",899.99,,no reviews,Only 6 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07142601AXRMG89BIE4T&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09DR6D4MK%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1633393844%26sr%3D8-11-spons%26psc%3D1&qualifier=1633393844&id=484432045613685&widgetName=sp_mtf
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3x DisplayPort 1.4a w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,899.99,5.0 out of 5 stars,1,Only 13 left in stock - order soon.,https://www.amazon.com/Graphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI/dp/B09GHZGD5X/ref=sr_1_12?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-12
"ASUS Dual NVIDIA GeForce RTX 3060 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, 2-Slot Design, Axial-tech Fan Design, 0dB Technology, and More ",Not available,4.6 out of 5 stars,30,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-Technology/dp/B08XNLLPY7/ref=sr_1_13?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-13
"ZOTAC Gaming GeForce RTX 3060 Twin Edge 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop, ZT-A30600E-10M ",818.0,4.2 out of 5 stars,33,out of stock,https://www.amazon.com/ZOTAC-GeForce-Graphics-IceStorm-ZT-A30600E-10M/dp/B08ZZW34T3/ref=sr_1_14?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-14
"GIGABYTE Eagle GeForce RTX 3060 Ti Rev2.0 Graphics Card 8GB GDDR6 PCI Express 4.0 x16, LHR, WINDFORCE 2X Cooling RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_ HDMI Cable ",899.99,1.0 out of 5 stars,1,Only 5 left in stock - order soon.,https://www.amazon.com/GIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort/dp/B09DRPQ76K/ref=sr_1_15?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-15
"GIGABYTE Eagle GeForce RTX 3060 Ti Rev2.0 Graphics Card 8GB GDDR6 PCI Express 4.0 x16, LHR, WINDFORCE 2X Cooling RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_ HDMI Cable ",899.99,1.0 out of 5 stars,1,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07143601OQAQTZ0HOQFM&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09DRPQ76K%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1633393844%26sr%3D8-16-spons%26psc%3D1%26smid%3DA1Z8HN9APE8NTZ&qualifier=1633393844&id=484432045613685&widgetName=sp_mtf
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Triple Fan Ampere OC Graphics Card (RTX 3060 Ventus 3X 12G OC) ,Not available,3.9 out of 5 stars,9,out of stock,https://www.amazon.com/MSI-RTX-3060-OC-12G/dp/B08WTFG5BX/ref=sr_1_17?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-17
"GIGABYTE GeForce RTX 3060 Gaming OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card ",970.0,4.2 out of 5 stars,40,Only 8 left in stock - order soon.,https://www.amazon.com/GIGABYTE-GeForce-Graphics-WINDFORCE-GV-N3060GAMING/dp/B08X4V8N5Q/ref=sr_1_18?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-18
MSI NVIDIA GeForce RTX 3060 Ti Gaming X LHR 8GB GDDR6 VRAM Graphics Card X RGB Dual TORX 4.0 Fans 4864 CUDA Cores PCIe 4.0 x 16 DirectX 12 3 x DisplayPort 1 x HDMI Mazepoly Accessory ,929.0,,no reviews,out of stock,https://www.amazon.com/MSI-Graphics-DisplayPort-Mazepoly-Accessory/dp/B09FVLSNZ2/ref=sr_1_19?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-19
"ASUS Phoenix NVIDIA GeForce RTX 3060 Gaming Graphics Card (PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, Protective Backplate, Dual Ball Fan Bearings) ",Not available,5.0 out of 5 stars,10,out of stock,https://www.amazon.com/ASUS-DisplayPort-Axial-tech-Protective-Backplate/dp/B096L2R3GP/ref=sr_1_20?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-20
"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCI Express 4.0 x16, LHR, WINDFORCE 3X Cooling, RGB Fusion 2.0 3D Active Fan, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix_ HDMI Cable ",1249.99,,no reviews,Only 6 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09480181YJMK5LQYK87&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09CS1BJW9%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1633393844%26sr%3D8-21-spons%26psc%3D1&qualifier=1633393844&id=484432045613685&widgetName=sp_btf
"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCIe 4.0 x16, LHR, WINDFORCE 3X Cooling RGB Fusion 2.0, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1249.99,,no reviews,Only 4 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09478622Z8RGUQCGYNTT&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09CS2YXTY%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1633393844%26sr%3D8-22-spons%26psc%3D1&qualifier=1633393844&id=484432045613685&widgetName=sp_btf
"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCIe 4.0 x16, LHR, WINDFORCE 3X Cooling RGB Fusion 2.0, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1249.99,,no reviews,Only 4 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09735253033BXVTP1XB&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09CS2YXTY%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1633393845%26sr%3D8-1-spons%26psc%3D1&qualifier=1633393845&id=6653941944924609&widgetName=sp_atf
"GIGABYTE GeForce RTX 3070 Gaming OC REV2.0 Graphics Card, 8G 256-bit GDDR6, PCIe 4.0 x16, 3X WINDFORCE Fans, Lite Hash Rate Version, RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_HDMI Cable ",1299.99,,no reviews,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08745942P5NPE0W9TM82&url=%2FGIGABYTE-Graphics-WINDFORCE-DisplayPort-Mytrix_HDMI%2Fdp%2FB09G998SNG%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1633393845%26sr%3D8-2-spons%26psc%3D1&qualifier=1633393845&id=6653941944924609&widgetName=sp_atf
2021 Newst GeForce RTX 3070 Founders Edition Graphics Card 8GB GDDR6 PCI Express 4.0 Graphics Card - Dark Platinum and Black+ AllyFlex HDMI ,1599.97,4.6 out of 5 stars,11,Only 2 left in stock - order soon.,https://www.amazon.com/GeForce-3070-Founders-Graphics-Express/dp/B092C6MHMX/ref=sr_1_3?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-3
"ASUS TUF Gaming NVIDIA GeForce RTX 3070 OC Edition Graphics Card- PCIe 4.0, 8GB GDDR6, HDMI 2.1 , DisplayPort 1.4a, Dual Ball Fan Bearings ",Not available,4.7 out of 5 stars,283,out of stock,https://www.amazon.com/ASUS-GeForce-Graphics-DisplayPort-Bearings/dp/B08L8KC1J7/ref=sr_1_4?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-4
"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCIe 4.0 x16, LHR, WINDFORCE 3X Cooling RGB Fusion 2.0, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1249.99,,no reviews,Only 4 left in stock - order soon.,https://www.amazon.com/GIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort/dp/B09CS2YXTY/ref=sr_1_5?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-5
MSI Gaming GeForce RTX 3070 LHR 8GB GDRR6 256-Bit HDMI/DP Nvlink Torx Fan 4 RGB Ampere Architecture OC Graphics Card (RTX 3070 Gaming Z Trio 8G LHR) ,1277.9,4.0 out of 5 stars,1,out of stock,https://www.amazon.com/MSI-GeForce-RTX-3070-Architecture/dp/B097MYTZMW/ref=sr_1_6?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-6
"GIGABYTE GeForce RTX 3070 OC REV2.0 Graphics Card 8G 256-bit GDDR6, PCIe 4.0 x16, 3X WINDFORCE Fans, LHR Version, RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1299.99,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/GIGABYTE-Graphics-WINDFORCE-DisplayPort-Mytrix_HDMI/dp/B09G96CTJ2/ref=sr_1_7?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-7
ZOTAC GAMING GeForce RTX 3070 AMP Holo 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card ,1649.99,3.5 out of 5 stars,7,Only 2 left in stock - order soon.,https://www.amazon.com/ZOTAC-GAMING-GeForce-256-bit-Graphics/dp/B08W44ZLRP/ref=sr_1_8?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-8
"Gigabyte GeForce RTX 3070 OC Graphics Card, 8GB 256-bit GDDR6, PCI Express 4.0, 3X WINDFORCE Fans, Protection Metal Back Plate, 2 x HDMI 2.1 2 x DisplayPort 1.4a w/ Mytrix HDMI Cable ",1609.99,3.9 out of 5 stars,16,Only 5 left in stock - order soon.,https://www.amazon.com/Gigabyte-Graphics-WINDFORCE-Protection-DisplayPort/dp/B08WJJNT2R/ref=sr_1_9?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-9
MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card RTX 3070 Gaming Z Trio LHR ,Not available,3.9 out of 5 stars,16,out of stock,https://www.amazon.com/MSI-GeForce-RTX-3070-Express/dp/B0956WYQ1B/ref=sr_1_10?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-10
"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCI Express 4.0 x16, LHR, WINDFORCE 3X Cooling, RGB Fusion 2.0 3D Active Fan, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix_ HDMI Cable ",1249.99,,no reviews,Only 6 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09736811Y46GRDMP1I0S&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09CS1BJW9%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1633393845%26sr%3D8-11-spons%26psc%3D1&qualifier=1633393845&id=6653941944924609&widgetName=sp_mtf
"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II) ",Not available,4.5 out of 5 stars,12,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B096YPLGHG/ref=sr_1_12?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-12
MSI Gaming GeForce RTX 3070 Ti 8GB GDRR6X 256-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3070 Ti Gaming X Trio 8G) ,Not available,4.5 out of 5 stars,25,out of stock,https://www.amazon.com/MSI-Gaming-RTX-3070-Trio/dp/B096HJC18P/ref=sr_1_13?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-13
MSI Gaming GeForce RTX 3070 LHR 8GB GDRR6 256-Bit HDMI/DP Nvlink Triple Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3070 Ventus 3X 8G OC LHR) ,1199.0,,no reviews,Only 20 left in stock - order soon.,https://www.amazon.com/MSI-RTX-3070-LHR-Ventus/dp/B099NZHTQL/ref=sr_1_14?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-14
"GIGABYTE AORUS GeForce RTX 3070 Ti Master 8G Graphics Card, MAX-Covered Cooling, 8GB 256-bit GDDR6X, GV-N307TAORUS M-8GD Video Card ",Not available,4.0 out of 5 stars,4,out of stock,https://www.amazon.com/GIGABYTE-Graphics-MAX-Covered-GV-N307TAORUS-M-8GD/dp/B097GMHNCT/ref=sr_1_15?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-15
"GIGABYTE GeForce RTX 3070 OC REV2.0 Graphics Card 8G 256-bit GDDR6, PCIe 4.0 x16, 3X WINDFORCE Fans, LHR Version, RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1299.99,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08744381UBVVOIXAN4QM&url=%2FGIGABYTE-Graphics-WINDFORCE-DisplayPort-Mytrix_HDMI%2Fdp%2FB09G96CTJ2%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1633393845%26sr%3D8-16-spons%26psc%3D1&qualifier=1633393845&id=6653941944924609&widgetName=sp_mtf
"ZOTAC Gaming GeForce RTX 3070 Ti AMP Holo 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30710F-10P ",Not available,4.4 out of 5 stars,60,out of stock,https://www.amazon.com/ZOTAC-Graphics-HoloBlack-IceStorm-ZT-A30710F-10P/dp/B096TZHXYN/ref=sr_1_17?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-17
"GIGABYTE GeForce RTX 3070 Ti Gaming OC 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 256-bit GDDR6X, GV-N307TGAMING OC-8GD Video Card ",Not available,5.0 out of 5 stars,3,out of stock,https://www.amazon.com/GIGABYTE-Graphics-WINDFORCE-GV-N307TGAMING-OC-8GD/dp/B097G7RBSZ/ref=sr_1_18?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-18
"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCI Express 4.0 x16, LHR, WINDFORCE 3X Cooling, RGB Fusion 2.0 3D Active Fan, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix_ HDMI Cable ",1249.99,,no reviews,Only 6 left in stock - order soon.,https://www.amazon.com/GIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort/dp/B09CS1BJW9/ref=sr_1_19?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-19
MSI Gaming X Trio GeForce RTX 3070 Ti OC Graphics Card 8GB GDRR6X 256-Bit PCIe 4.0 x16 Triple-Fan TRI FROZR 2 Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix_ HDMI Cable ,1649.99,1.0 out of 5 stars,1,Only 5 left in stock - order soon.,https://www.amazon.com/GeForce-Graphics-Triple-Fan-Architecture-DisplayPort/dp/B09D17W92Y/ref=sr_1_20?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-20
ASUS Dual GeForce RTX 3070 Non-LHR Graphics Card 8GB GDDR6 PCI Express 4.0 Ampere Streaming Multiprocessors 2X HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix_HDMI Cable - OEM Package (Renewed) ,1614.99,,no reviews,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06439102F0U6WO7INTUS&url=%2FGraphics-Streaming-Multiprocessors-DisplayPort-Mytrix_HDMI%2Fdp%2FB09H3QSGYX%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1633393845%26sr%3D8-21-spons%26psc%3D1&qualifier=1633393845&id=6653941944924609&widgetName=sp_btf
"EVGA GeForce RTX 3070 FTW3 Ultra Graphics Card, 8GB GDDR6, PCI Express 4.0, iCX3 Technology, ARGB LED, Metal Backplate, 1 x HDMI 2.1 3 x DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1649.99,2.0 out of 5 stars,8,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A006569431D5I3MNEET4U&url=%2FGeForce-Graphics-Technology-Backplate-DisplayPort%2Fdp%2FB08ZQ3ZH5W%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1633393845%26sr%3D8-22-spons%26psc%3D1&qualifier=1633393845&id=6653941944924609&widgetName=sp_btf
MSI Gaming GeForce RTX 3080 OC Ventus 3X LHR Graphics Card 10GB GDRR6X 320-Bit PCI Express 4.0 x16 Torx Fan 3 Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix_HDMI Cable ,1799.99,,no reviews,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A041856926RAC45ZY6PRD&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GSD99MW%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1633393847%26sr%3D8-1-spons%26psc%3D1&qualifier=1633393847&id=1595198391419280&widgetName=sp_atf
ASUS TUF Gaming GeForce RTX 3080 Ti OC Graphics Card 12GB GDDR6X PCIe 4.0  Dual Ball Fan Bearings Axial-Tech Fan Design 2X HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,2549.99,1.0 out of 5 stars,1,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0368250TFAWJWFPKVV6&url=%2FGeForce-Graphics-Bearings-Axial-Tech-DisplayPort%2Fdp%2FB097NF8LZ7%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1633393847%26sr%3D8-2-spons%26psc%3D1&qualifier=1633393847&id=1595198391419280&widgetName=sp_atf
MSI Gaming GeForce RTX 3080 LHR 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 4 RGB Ampere Architecture OC Graphics Card (RTX 3080 Gaming Z Trio 10G LHR) ,1849.0,4.1 out of 5 stars,6,Only 2 left in stock - order soon.,https://www.amazon.com/MSI-GeForce-RTX-3080-LHR/dp/B0995S7548/ref=sr_1_3?dchild=1&keywords=3080+Graphics+Card&qid=1633393847&sr=8-3
